Price,Pricing,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
EUR 9575,9575.00,Sport Boat,Sting power boats,new boat from stock,2016,4.88,2.03,GRP,Germany,64
CHF 10350,10781.25,Sport Boat,Linder power boats,new boat from stock,0,4.51,1.75,Aluminium,Switzerland ,168
EUR 9553,9553.00,Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2,GRP,Netherlands,91
EUR 9500,9500.00,Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,Netherlands,138
EUR 9500,9500.00,Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,5.7,2.1,GRP,Italy,184
EUR 9500,9500.00,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,Germany,162
EUR 9500,9500.00,Cabin Boat,,Used boat,1975,9,3,Steel,Netherlands,303
EUR 9500,9500.00,Launch,Majoni power boats,Used boat,1998,3.99,1.74,,Spain,96
CHF 11000,11458.33,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,Switzerland ,256
CHF 11000,11458.33,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,7,1.9,Wood,Switzerland ,230
CHF 11000,11458.33,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,6,1.6,GRP,Switzerland ,182
CHF 10990,11447.92,Sport Boat,Buster power boats,new boat from stock,0,4.43,1.82,Aluminium,Switzerland ,109
EUR 10115,10115.00,Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,Germany,115
CHF 10900,11354.17,Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,Switzerland ,159
CHF 10900,11354.17,Sport Boat,Century power boats,"Used boat,Unleaded",1994,5.51,2.21,,Switzerland ,1057
EUR 10000,10000.00,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,Italy,585
EUR 10000,10000.00,Sport Boat,Cigala & Bertinetti power boats,"Used boat,Unleaded",1979,7.25,2.37,GRP,Italy,185
EUR 10000,10000.00,Sport Boat,Allegra power boats,new boat from stock,2018,5.9,2.38,,Italy,155
EUR 10000,10000.00,Trawler,,Used boat,1978,7.8,2.45,Steel,Netherlands,186
EUR 10000,10000.00,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12,3,Steel,Italy,182
EUR 10000,10000.00,"Cabin Boat,Trawler",Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,Germany,900
EUR 10000,10000.00,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,Italy,783
EUR 10000,10000.00,Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,France,175
EUR 10000,10000.00,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,France,207
EUR 11000,11000.00,Sport Boat,Bayliner power boats,Used boat,1988,6.3,2.34,GRP,Italy,284
EUR 11000,11000.00,Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,4.9,2.1,GRP,Germany,125
EUR 11000,11000.00,Cabin Boat,Stingray power boats,Used boat,1997,6.5,2.4,GRP,Italy,229
EUR 11000,11000.00,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,7.03,2.54,PVC,France,226
EUR 11000,11000.00,"Bowrider,Classic",Sunbird power boats,"Used boat,Unleaded",1971,5.79,2.2,Wood,France,87
