Price,Pricing,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
CHF 168000,175000.00,Sport Boat,Windy power boats,"new boat from stock,Unleaded",2019,7.88,2.46,GRP,Switzerland ,246
CHF 168000,175000.00,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2013,9.67,3.35,GRP,Switzerland ,386
EUR 155000,155000.00,Hardtop,Jeanneau power boats,"Used boat,Diesel",2016,9.43,3.15,,Italy,96
EUR 155000,155000.00,House Boat,,new boat from stock,2020,15,4.5,Aluminium,Netherlands,181
EUR 155000,155000.00,Hardtop,Cranchi power boats,"Used boat,Diesel",2007,13.8,4.15,,Italy,291
EUR 155000,155000.00,Trawler,,"Used boat,Diesel",1965,17.15,3.5,Steel,Germany,166
EUR 155000,155000.00,Flybridge,Raffaelli power boats,"Used boat,Diesel",1998,16,4.35,,Italy,78
EUR 155000,155000.00,"Classic,Motor Yacht",Chris Craft power boats,Used boat,1930,8,1.8,Wood,Germany,74
EUR 155000,155000.00,Motor Yacht,Performance power boats,Used boat,2005,11.9,3,GRP,Netherlands,80
EUR 155000,155000.00,Motor Yacht,Linssen power boats,Used boat,0,9.35,3.35,,Germany,66
EUR 155000,155000.00,Flybridge,Azimut power boats,"Used boat,Diesel",2006,12,4,GRP,Croatia,179
EUR 155000,155000.00,Motor Yacht,,"Used boat,Diesel",2001,14.7,4.1,GRP,Italy,154
EUR 155000,155000.00,Catamaran,Fountaine Pajot power boats,"Used boat,Diesel",2006,10.35,4.4,GRP,France,410
EUR 154900,154900.00,Motor Yacht,Mochi Craft power boats,"Used boat,Diesel",1997,18.3,4.55,GRP,Spain,51
EUR 154644,154644.00,Sport Boat,Cranchi power boats,"new boat from stock,Unleaded",2019,7.85,2.49,GRP,Austria,306
EUR 154500,154500.00,Motor Yacht,,Used boat,2008,11.8,4.3,Steel,Netherlands,79
CHF 167000,173958.33,Trawler,Vri-Jon power boats,"Used boat,Diesel",2001,11.2,3.8,Steel,Switzerland ,264
EUR 154393,154393.00,Motor Yacht,BÃ©nÃ©teau power boats,new boat from stock,2020,11.08,3.4,GRP,France,104
EUR 154150,154150.00,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2020,8.6,2.7,,France,89
CHF 166640,173583.33,Wakeboard/Wakesurf,Supra power boats,"Display Model,Unleaded",2020,7.48,2.58,GRP,Switzerland ,278
EUR 154000,154000.00,Motor Yacht,Performance power boats,"Used boat,Unleaded",2006,10.8,3,GRP,Germany,77
EUR 154000,154000.00,Hardtop,Mirakul power boats,"new boat on order,Diesel",2020,9.19,3.1,GRP,Switzerland ,277
EUR 154000,154000.00,Motor Yacht,Cruisers Yachts power boats,"Used boat,Diesel",2003,14.2,4.2,GRP,Netherlands,140
EUR 154000,154000.00,Flybridge,Sealine power boats,"Used boat,Diesel",2006,11.5,3.78,GRP,Croatia,70
EUR 153640,153640.00,Sport Boat,Grandezza power boats,"new boat on order,Unleaded",2020,8.8,2.85,GRP,Croatia,132
EUR 152850,152850.00,House Boat,,new boat from stock,2020,14.6,4.35,Steel,Netherlands,92
CHF 165000,171875.00,"Classic,Runabout",Riva power boats,Used boat,1959,6.52,2.16,Wood,Switzerland ,413
EUR 152265,152265.00,Sport Boat,Cranchi power boats,"new boat from stock,Unleaded",2020,7.85,2.49,GRP,Switzerland ,433
EUR 152200,152200.00,Motor Yacht,Bavaria power boats,"new boat from stock,Unleaded",2020,8.5,2.99,GRP,Germany,120
EUR 152035,152035.00,Pilothouse,AXOPAR power boats,"new boat from stock,Unleaded",2020,9.2,2.95,GRP,Switzerland ,268
EUR 152000,152000.00,"Classic,Runabout",Comitti power boats,"Display Model,Unleaded",2017,6.5,2.15,Wood,Switzerland ,145
EUR 152000,152000.00,Fishing Boat,Pursuit power boats,Used boat,2013,8.7,2.85,GRP,Italy,71
EUR 152000,152000.00,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2011,11.8,3.99,GRP,Italy,193
EUR 152000,152000.00,Trawler,,"Used boat,Diesel",1991,12.59,3.95,GRP,Germany,127
EUR 151500,151500.00,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,7.9,2.59,GRP,Austria,71
EUR 150000,150000.00,Trawler,,"Used boat,Diesel",1907,19.9,4.2,Steel,Belgium,80
EUR 150000,150000.00,Flybridge,Jeanneau power boats,Used boat,2010,11.3,3.9,GRP,Italy,115
EUR 150000,150000.00,Flybridge,,"Used boat,Diesel",2001,12.88,4.29,GRP,Italy,35
EUR 150000,150000.00,House Boat,,Used boat,2016,15,5,Steel,Netherlands,95
EUR 150000,150000.00,Flybridge,Doqueve power boats,"Used boat,Diesel",2002,12,4,GRP,Spain,43
EUR 150000,150000.00,Trawler,Zijlmans power boats,"Used boat,Diesel",1997,14,4.2,Steel,Netherlands,107
EUR 150000,150000.00,"Classic,Pontoon Boat",Hans A. Deerberg power boats,"Used boat,Diesel",1984,9.25,2.25,Wood,Switzerland ,158
EUR 150000,150000.00,Pontoon Boat,Fiart Mare power boats,"Used boat,Diesel",0,12,3.4,GRP,Italy,68
EUR 150000,150000.00,Flybridge,Cranchi power boats,"Used boat,Diesel",2004,12.8,4.2,GRP,Italy,68
EUR 150000,150000.00,Sport Boat,AXOPAR power boats,"Used boat,Unleaded",2016,11.2,3.3,GRP,Germany,245
EUR 150000,150000.00,Trawler,Mainship power boats,"Used boat,Diesel",2007,10.62,4.37,,Italy,107
EUR 150000,150000.00,Flybridge,Princess power boats,"Used boat,Diesel",1997,15.23,4.32,PVC,France,85
EUR 150000,150000.00,Flybridge,Princess power boats,"Used boat,Diesel",1997,15.23,4.3,,France,163
EUR 150000,150000.00,Flybridge,,"Used boat,Diesel",2005,11.95,4.55,GRP,Croatia,70
EUR 150000,150000.00,Motor Yacht,Sessa power boats,Used boat,2008,11.51,3.5,GRP,Italy,31
EUR 150000,150000.00,Passenger boat,,"Used boat,Diesel",2000,21.5,6.15,Wood,Turkey,81
EUR 150000,150000.00,Sport Boat,Stilecatalini power boats,"Used boat,Diesel",2018,8.12,3.5,GRP,Italy,115
EUR 150000,150000.00,Fishing Boat,Bertram Yacht power boats,"Used boat,Diesel",1980,11.5,4.03,GRP,Italy,73
EUR 150000,150000.00,Flybridge,Ferretti power boats,"Used boat,Diesel",1995,13.98,4.5,GRP,Italy,59
EUR 150000,150000.00,Motor Yacht,Fiart Mare power boats,"Used boat,Diesel",2006,12.45,4.02,GRP,Italy,85
EUR 150000,150000.00,Flybridge,Sea Ray power boats,Used boat,2008,11.58,4,GRP,Malta,142
EUR 150000,150000.00,Flybridge,Sea Ray power boats,Used boat,2008,11.58,3.96,GRP,Malta,156
EUR 150000,150000.00,Motor Yacht,Sessa power boats,Used boat,2008,11.5,3.5,GRP,Italy,63
EUR 150000,150000.00,Motor Yacht,Sessa power boats,"Used boat,Diesel",2009,11.28,3.35,GRP,Italy,105
EUR 150000,150000.00,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2015,10.25,3.5,,Malta,113
EUR 150000,150000.00,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,9,2.99,PVC,France,68
EUR 150000,150000.00,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2010,9.98,3.8,GRP,France,155
EUR 150000,150000.00,Cabin Boat,Bavaria power boats,"Used boat,Unleaded",2010,10.4,3.45,GRP,Austria,383
EUR 150000,150000.00,Sport Boat,,"Used boat,Diesel",2019,10,3,PVC,Spain,171
EUR 150000,150000.00,Flybridge,Astondoa power boats,"Used boat,Diesel",2000,13.9,4.28,GRP,Spain,170
EUR 150000,150000.00,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2008,13.5,4.17,GRP,Croatia,130
EUR 149950,149950.00,Sport Boat,SAY power boats,"Used boat,Unleaded",2016,8.55,2.78,GRP,Germany,41
EUR 149500,149500.00,Trawler,,Used boat,2010,10.5,3.85,Steel,Netherlands,58
EUR 149500,149500.00,Motor Yacht,Jacabo power boats,"Used boat,Diesel",1999,14.5,4.3,Steel,Germany,148
EUR 149500,149500.00,Motor Yacht,Sarnico power boats,Used boat,1998,16.7,4.38,GRP,Croatia,129
EUR 149111,149111.00,Flybridge,Cobra Yachts power boats,"new boat from stock,Diesel",2019,11.4,3.5,GRP,Poland,431
EUR 149070,149070.00,Sport Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,10.57,3.21,PVC,France,76
EUR 149000,149000.00,Hardtop,Galeon power boats,"Used boat,Diesel",2011,10.2,3.35,GRP,Sweden,143
EUR 149000,149000.00,Flybridge,Cranchi power boats,"Used boat,Diesel",2004,13.16,3.84,GRP,Spain,101
EUR 149000,149000.00,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",1992,15,4.65,GRP,Germany,126
EUR 149000,149000.00,Trawler,ReLine power boats,Used boat,2005,12.6,3.8,Steel,Netherlands,49
EUR 149000,149000.00,Sport Boat,Princess power boats,"Used boat,Diesel",1998,16.8,4.27,PVC,France,186
EUR 149000,149000.00,Trawler,,Used boat,1996,13.93,4.2,Steel,Netherlands,51
EUR 149000,149000.00,Motor Yacht,Raffaelli power boats,"Used boat,Diesel",2001,15,4.4,GRP,Croatia,145
EUR 149000,149000.00,Bowrider,Frauscher power boats,"Used boat,Unleaded",2018,7.47,2.49,GRP,Italy,209
EUR 149000,149000.00,Cabin Boat,Viper power boats,"new boat from stock,Unleaded",0,8.65,2.59,GRP,Germany,74
EUR 149000,149000.00,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2007,13.8,4.13,,Italy,142
EUR 149000,149000.00,Runabout,Boesch power boats,"Used boat,Unleaded",2007,7.5,2.4,Wood,Austria,143
EUR 149000,149000.00,Flybridge,Raffaelli power boats,"Used boat,Diesel",1996,16,4.3,GRP,Croatia,79
EUR 149000,149000.00,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1996,14.94,3.29,GRP,Spain,166
EUR 149000,149000.00,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2002,14.1,4.2,GRP,Spain,189
EUR 149000,149000.00,Flybridge,Sealine power boats,"Used boat,Diesel",2000,13.2,4.2,GRP,Croatia,155
EUR 149000,149000.00,Motor Yacht,,Used boat,2001,12.8,4.2,Steel,Netherlands,78
EUR 149000,149000.00,Pilothouse,Menorquin power boats,"Used boat,Diesel",2002,12.4,3.9,PVC,Spain,135
EUR 149000,149000.00,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2015,10.9,3.31,GRP,Spain,71
EUR 149000,149000.00,Motor Yacht,Princess power boats,"Used boat,Diesel",1994,14.5,4.25,GRP,France,70
EUR 149000,149000.00,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2015,10.06,3.31,GRP,Spain,105
EUR 149000,149000.00,Trawler,ReLine power boats,Used boat,2005,12.6,3.8,Steel,Netherlands,45
EUR 149000,149000.00,Trawler,Linssen power boats,Used boat,2001,11.5,3.95,Steel,Netherlands,93
EUR 149000,149000.00,Trawler,Flevo power boats,Used boat,2000,14.75,4.25,Steel,Netherlands,74
EUR 149000,149000.00,Flybridge,Azimut power boats,"Used boat,Diesel",1995,15.66,4.4,,Italy,177
EUR 149000,149000.00,Flybridge,Rodman power boats,"Used boat,Diesel",2004,13.7,4.2,GRP,Slovenia,25
EUR 149000,149000.00,Flybridge,Carnevali power boats,"Used boat,Diesel",2001,11.99,4.33,GRP,Italy,49
EUR 149000,149000.00,Motor Yacht,,Used boat,2006,12.4,3.95,Steel,Belgium,108
EUR 148500,148500.00,Wakeboard/Wakesurf,Nautique power boats,"new boat on order,Unleaded",2020,7.24,2.59,GRP,Germany,53
CHF 159000,165625.00,Sport Boat,Chaparral power boats,"Used boat,Unleaded",2012,9.45,3.05,GRP,Switzerland ,297
CHF 160000,166666.67,"Classic,Runabout",Comitti power boats,"Display Model,Unleaded",2017,6.5,2.15,Wood,Switzerland ,166
EUR 148000,148000.00,Flybridge,Carnevali power boats,"Used boat,Diesel",2003,13,4.15,,Italy,82
EUR 148000,148000.00,House Boat,,"Used boat,Diesel",1885,28,5.6,Steel,Netherlands,160
EUR 148000,148000.00,Motor Yacht,Galeon power boats,"Used boat,Unleaded",2014,10.99,3.35,GRP,Croatia,152
EUR 148000,148000.00,Sport Boat,Zijlmans power boats,Used boat,2003,13,4.2,,Germany,80
EUR 148000,148000.00,Hardtop,Jeanneau power boats,"Used boat,Diesel",2018,9.23,2.98,PVC,France,65
EUR 148000,148000.00,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2008,11.89,3.81,,Italy,66
EUR 148000,148000.00,Pontoon Boat,Sessa power boats,"Used boat,Unleaded",2010,11.42,3.56,GRP,Italy,251
EUR 148000,148000.00,Pilothouse,Linex power boats,"Used boat,Diesel",2012,9.1,3.1,GRP,Germany,75
EUR 148000,148000.00,Hardtop,Elan power boats,"Used boat,Diesel",2013,10.62,3.6,GRP,Croatia,151
EUR 147900,147900.00,Motor Yacht,Jeanneau power boats,"new boat from stock,Unleaded",0,10.5,3.37,GRP,Germany,80
EUR 147500,147500.00,Motor Yacht,Azimut power boats,"Used boat,Diesel",1997,12.01,4.1,GRP,Portugal,60
EUR 147500,147500.00,Motor Yacht,Fairline power boats,"Used boat,Diesel",2006,11.61,3.65,GRP,Portugal,152
EUR 147500,147500.00,Trawler,De Boarnstream power boats,"Used boat,Diesel",2008,10.8,3.8,Steel,Netherlands,118
EUR 147500,147500.00,Pilothouse,Finnmaster power boats,"new boat from stock,Unleaded",2020,8.4,3,GRP,Germany,89
EUR 147220,147220.00,Sport Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,9.95,3.35,PVC,Spain,65
EUR 147203,147203.00,Motor Yacht,Jeanneau power boats,"new boat from stock,Unleaded",0,10.5,3.37,GRP,Germany,96
DKK 1095000,147177.42,Motor Yacht,Princess power boats,Used boat,1995,13.68,4.17,GRP,Denmark,214
EUR 147000,147000.00,Flybridge,Sealine power boats,Used boat,2006,12,3.75,,Italy,47
EUR 147000,147000.00,Motor Yacht,,Used boat,2007,13.1,4.2,GRP,Netherlands,89
EUR 147000,147000.00,Motor Yacht,,Used boat,1922,27,3.93,Steel,Netherlands,75
EUR 146700,146700.00,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,8.3,2.59,GRP,Austria,145
EUR 146200,146200.00,Cabin Boat,Viper power boats,"new boat from stock,Unleaded",0,8.65,2.59,GRP,Germany,69
CHF 158000,164583.33,Sport Boat,Tony Giugliano power boats,"Used boat,Diesel",2004,10.94,3.28,GRP,Switzerland ,227
EUR 145951,145951.00,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2020,7.9,2.5,,France,79
EUR 145900,145900.00,Motor Yacht,Windy power boats,"Used boat,Diesel",2003,11.04,3.5,GRP,Germany,187
EUR 145000,145000.00,Motor Yacht,Sessa power boats,"Used boat,Diesel",2006,12.9,3.85,,Italy,41
EUR 145000,145000.00,Sport Boat,Jeanneau power boats,Used boat,2009,11.5,3.89,GRP,Italy,150
EUR 145000,145000.00,Motor Yacht,,Used boat,2006,13.72,4.27,,Croatia,68
EUR 145000,145000.00,Hardtop,Jeanneau power boats,"Used boat,Diesel",2018,9.43,3.15,PVC,Belgium,103
EUR 145000,145000.00,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2011,11.66,3.59,GRP,Germany,157
EUR 145000,145000.00,Motor Yacht,Pershing power boats,"Used boat,Diesel",2004,11.78,3.25,GRP,Italy,78
EUR 145000,145000.00,Motor Yacht,Windy power boats,"Used boat,Diesel",2002,12.25,3.5,GRP,Croatia,107
EUR 145000,145000.00,Trawler,Eurobanker power boats,"Used boat,Diesel",1981,11.7,4.06,PVC,France,104
EUR 145000,145000.00,Motor Yacht,Raffaelli power boats,"Used boat,Diesel",2001,14.8,4.4,GRP,Croatia,122
EUR 145000,145000.00,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2012,11.71,3.85,,Italy,55
EUR 145000,145000.00,Sport Boat,Jeanneau power boats,Used boat,2016,10.57,3.21,PVC,France,28
EUR 145000,145000.00,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2004,13.6,4.17,PVC,France,118
EUR 145000,145000.00,Trawler,,"Used boat,Diesel",1976,11.98,4.17,PVC,France,62
EUR 145000,145000.00,Pontoon Boat,Menorquin power boats,"Used boat,Diesel",2002,11.85,3.9,GRP,Italy,65
EUR 145000,145000.00,Catamaran,Fountaine Pajot power boats,"Used boat,Diesel",2000,11.15,5.1,GRP,Spain,221
EUR 145000,145000.00,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2006,14,4.02,GRP,Italy,65
EUR 145000,145000.00,Motor Yacht,Atlantis power boats,Used boat,2006,13.53,4.02,,Italy,152
EUR 145000,145000.00,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1998,15.12,4.44,,Italy,126
EUR 145000,145000.00,Motor Yacht,Uniesse power boats,"Used boat,Diesel",2002,13.8,4.06,GRP,Italy,51
EUR 145000,145000.00,Motor Yacht,Atlantis power boats,Used boat,2006,13.53,4.02,,Italy,126
EUR 145000,145000.00,Hardtop,,"Used boat,Diesel",2007,11.73,3.83,GRP,Italy,81
EUR 145000,145000.00,Motor Yacht,Atlantis power boats,Used boat,2006,13.53,4.02,,Italy,110
EUR 144900,144900.00,Trawler,,"Used boat,Diesel",2002,12.7,4,Steel,Netherlands,74
EUR 144900,144900.00,Motor Yacht,Bavaria power boats,"new boat from stock,Unleaded",2019,9.31,2.99,GRP,Germany,131
EUR 144900,144900.00,Motor Yacht,Bavaria power boats,"new boat from stock,Unleaded",2019,9.31,2.99,GRP,Germany,132
EUR 144900,144900.00,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,8.9,2.99,,Germany,67
EUR 144714,144714.00,Cabin Boat,Regal power boats,"new boat from stock,Unleaded",2020,7.9,2.5,GRP,Germany,194
CHF 155000,161458.33,Sport Boat,Formula power boats,"Used boat,Unleaded",2007,9.45,2.9,GRP,Switzerland ,185
EUR 143900,143900.00,Cabin Boat,Sea Ray power boats,"new boat on order,Unleaded",2021,8.1,2.56,GRP,Germany,94
EUR 141756,141756.00,Sport Boat,Cranchi power boats,new boat from stock,2020,7.85,2.49,PVC,France,91
EUR 141686,141686.00,Hardtop,Jeanneau power boats,"new boat from stock,Unleaded",2020,9.23,3,PVC,France,87
EUR 141500,141500.00,Hardtop,Bavaria power boats,"new boat from stock,Unleaded",2018,10.06,3.31,,Italy,161
EUR 141322,141322.00,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,8.6,2.98,PVC,France,89
DKK 1049000,140994.62,Sport Boat,Yamarin power boats,new boat from stock,2020,8,2,,Denmark,86
EUR 140540,140540.00,Bowrider,Four Winns power boats,"new boat from stock,Unleaded",2020,7.41,2.54,PVC,France,46
EUR 140455,140455.00,House Boat,,new boat from stock,2020,13.4,4.35,Steel,Netherlands,70
EUR 140000,140000.00,Sport Boat,Cranchi power boats,"Used boat,Diesel",2006,10.41,3.64,GRP,Italy,40
EUR 140000,140000.00,Motor Yacht,Fairline power boats,Used boat,1995,15.24,,GRP,Malta,127
EUR 140000,140000.00,Trawler,Menorquin power boats,"Used boat,Diesel",2004,12.4,3.9,GRP,Croatia,81
EUR 140000,140000.00,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2006,13.72,4.27,GRP,Croatia,118
EUR 140000,140000.00,Flybridge,Sealine power boats,"Used boat,Diesel",1999,13.4,4.05,GRP,Italy,110
EUR 140000,140000.00,Flybridge,Mochi Craft power boats,"Used boat,Diesel",1984,12.3,3.8,GRP,Italy,96
EUR 140000,140000.00,Flybridge,ACM Dufour power boats,"Used boat,Diesel",2000,13.11,3.66,GRP,Croatia,70
EUR 140000,140000.00,Hardtop,Sessa power boats,"Used boat,Diesel",2006,12.9,3.85,,Italy,185
EUR 140000,140000.00,Center console boat,Stilecatalini power boats,"new boat from stock,Diesel",2018,7.6,3.5,,Italy,83
EUR 140000,140000.00,Sport Boat,QErre power boats,"Used boat,Diesel",2006,15,4.45,,Italy,131
EUR 140000,140000.00,Fishing Boat,Tiara power boats,"Used boat,Diesel",1998,13.26,4.47,GRP,Italy,26
EUR 140000,140000.00,Motor Yacht,Cantieri Estensi power boats,"Used boat,Diesel",2009,9.99,3.5,GRP,Italy,61
EUR 140000,140000.00,Flybridge,Azimut power boats,"Used boat,Diesel",2010,10.4,3.6,PVC,Cyprus,62
EUR 140000,140000.00,Motor Yacht,Pershing power boats,"Used boat,Diesel",2002,11.45,3.25,GRP,Portugal,104
EUR 140000,140000.00,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2010,11.8,3.84,GRP,Croatia,122
EUR 140000,140000.00,Flybridge,Rodman power boats,"Used boat,Diesel",2007,10.7,3.84,,Spain,38
EUR 140000,140000.00,Sport Boat,Sarnico power boats,"Used boat,Diesel",1996,14.85,4.3,PVC,France,89
EUR 140000,140000.00,Sport Boat,Cranchi power boats,"Used boat,Unleaded",2018,9.45,2.74,GRP,Italy,159
EUR 140000,140000.00,Sport Boat,,"new boat from stock,Unleaded",2020,9.3,3.64,,Italy,55
EUR 140000,140000.00,Motor Yacht,,new boat from stock,0,19.59,4.05,Steel,Netherlands,34
EUR 140000,140000.00,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2010,10.8,3.59,GRP,Germany,188
EUR 140000,140000.00,Flybridge,3B Craft power boats,"Used boat,Diesel",2008,9.9,3.8,GRP,Italy,41
EUR 140000,140000.00,Motor Yacht,Beachcraft power boats,"Used boat,Diesel",1977,14.83,4.46,Steel,Austria,199
EUR 140000,140000.00,Motor Yacht,Mira power boats,"Used boat,Diesel",2011,11.63,3.7,,Italy,99
EUR 139500,139500.00,Trawler,,Used boat,1999,12.9,4,Steel,Netherlands,86
EUR 139500,139500.00,Trawler,,"Used boat,Diesel",1895,26.53,4.5,Steel,Netherlands,33
EUR 139500,139500.00,House Boat,,Used boat,1911,27.16,4.6,Steel,Netherlands,116
EUR 139500,139500.00,Motor Yacht,Innovazione&Progetti power boats,"Used boat,Diesel",2002,14,4,GRP,Croatia,63
EUR 139500,139500.00,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2012,11.7,3.6,GRP,Germany,499
CHF 149500,155729.17,Motor Yacht,Formula Cruisers power boats,"Used boat,Unleaded",2003,11.7,3.63,GRP,Switzerland ,138
EUR 139000,139000.00,Motor Yacht,Rio power boats,"Used boat,Diesel",2005,13.35,4,GRP,Italy,38
EUR 139000,139000.00,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1998,10.98,3.1,GRP,Croatia,180
EUR 139000,139000.00,Hardtop,Cayman power boats,"Used boat,Diesel",2006,13.24,4.42,GRP,Italy,39
EUR 139000,139000.00,Deck Boat,Albatro power boats,"new boat from stock,Unleaded",2017,8.5,3.04,GRP,Germany,36
EUR 139000,139000.00,Cabin Boat,Motomar power boats,Used boat,1980,13.38,4.63,GRP,Italy,53
EUR 139000,139000.00,Motor Yacht,,"Used boat,Diesel",1971,14.98,3.98,,Germany,99
EUR 139000,139000.00,Trawler,,"Used boat,Diesel",1987,14.95,4.25,Steel,Netherlands,67
EUR 139000,139000.00,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2009,11.31,3.77,GRP,Croatia,104
EUR 139000,139000.00,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2006,12.62,3.99,PVC,Spain,127
EUR 139000,139000.00,Trawler,Valkkruiser power boats,Used boat,1996,14.1,4.1,Steel,Belgium,86
EUR 139000,139000.00,Motor Yacht,Elan power boats,"Used boat,Diesel",2015,13,4,GRP,Croatia,135
EUR 139000,139000.00,Hardtop,ManÃ² power boats,Used boat,2010,11.7,3.94,,Italy,48
EUR 139000,139000.00,Flybridge,Princess power boats,"Used boat,Diesel",2002,12.19,3.81,GRP,Croatia,187
EUR 139000,139000.00,Flybridge,Azimut power boats,"Used boat,Diesel",2000,13,4.12,,Italy,93
EUR 139000,139000.00,Trawler,Grand Banks power boats,"Used boat,Diesel",1973,13.2,4.13,,Croatia,98
EUR 139000,139000.00,Motor Yacht,Greenline power boats,Used boat,2018,9.99,3.49,,Croatia,179
EUR 139000,139000.00,Motor Yacht,Riviera power boats,Used boat,1998,10.36,4.04,,Croatia,71
EUR 139000,139000.00,Motor Yacht,Sealine power boats,"Used boat,Diesel",1999,13.6,4.16,GRP,Germany,86
EUR 139000,139000.00,Motor Yacht,Apreamare power boats,"Used boat,Diesel",2003,10.97,4.01,GRP,Croatia,71
EUR 139000,139000.00,Motor Yacht,Airon Marine power boats,"Used boat,Diesel",2006,13.45,3.74,PVC,France,35
EUR 139000,139000.00,Motor Yacht,,Used boat,2002,12.6,3.85,Steel,Netherlands,80
EUR 139000,139000.00,Motor Yacht,Kronborg Marine power boats,"Used boat,Diesel",2004,10.05,3.5,GRP,Germany,107
EUR 139000,139000.00,Sport Boat,Jeanneau power boats,"Used boat,Diesel",2017,9.23,3,PVC,France,26
EUR 139000,139000.00,Sport Boat,Parker power boats,"Used boat,Unleaded",2019,8.3,2.8,GRP,Germany,58
EUR 139000,139000.00,Passenger boat,,"Used boat,Diesel",1960,25.28,5.26,Steel,Netherlands,67
EUR 138500,138500.00,Sport Boat,Tecnorib power boats,"new boat from stock,Unleaded",2020,9.02,3.12,GRP,Switzerland ,529
EUR 138031,138031.00,Sport Boat,Parker power boats,"new boat from stock,Unleaded",0,8.3,2.8,GRP,Switzerland ,201
EUR 138000,138000.00,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2009,12.12,3.77,GRP,Croatia,147
EUR 138000,138000.00,Bowrider,Chris Craft power boats,"Used boat,Unleaded",2016,8.07,2.59,PVC,France,103
EUR 138000,138000.00,Hardtop,Ferretti power boats,"Used boat,Diesel",1991,14.1,4.26,GRP,Portugal,48
EUR 138000,138000.00,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2015,10.22,3.39,PVC,France,113
EUR 138000,138000.00,Hardtop,,"Used boat,Diesel",2005,11.4,3.9,,Italy,67
EUR 138000,138000.00,Flybridge,Mochi Craft power boats,"Used boat,Diesel",1998,14,,GRP,Italy,134
EUR 138000,138000.00,Hardtop,Jeanneau power boats,"Used boat,Diesel",2014,9.12,3.15,PVC,France,97
CHF 149000,155208.33,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2011,10.85,3.73,GRP,Switzerland ,742
EUR 137000,137000.00,Hardtop,ManÃ² power boats,"Used boat,Diesel",2010,12,3.8,GRP,Italy,73
EUR 137000,137000.00,Motor Yacht,Linssen power boats,"Used boat,Diesel",2005,9.8,3.2,Steel,Switzerland ,346
EUR 137000,137000.00,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2009,11.92,3.89,PVC,France,101
EUR 136900,136900.00,Sport Boat,Scarab power boats,"new boat on order,Unleaded",2020,7.7,2.54,GRP,Germany,54
EUR 136560,136560.00,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,7.89,2.59,GRP,Germany,110
CHF 147265,153401.04,Cabin Boat,Regal power boats,"new boat from stock,Unleaded",2021,7.4,2.6,GRP,Switzerland ,142
EUR 136000,136000.00,Sport Boat,Ganz Boats power boats,"Used boat,Diesel",2019,7.65,2.5,,Italy,154
CHF 145900,151979.17,Motor Yacht,Monterey power boats,"new boat from stock,Unleaded",2017,8.4,2.5,GRP,Switzerland ,200
EUR 135247,135247.00,Bowrider,Regal power boats,"new boat from stock,Unleaded",2021,8,2.5,GRP,Germany,134
EUR 135000,135000.00,Motor Yacht,Sealine power boats,"Used boat,Diesel",2005,11,3,GRP,Croatia,170
EUR 135000,135000.00,Trawler,Suncoast power boats,Used boat,1997,13.5,4.35,Steel,Netherlands,99
