Eur Price,Boat Type,Manufacturer,Year Built,Length,Width,Material,Location,Views Last 7 Days,Boat Condition,Engine Type
11000,Motor Yacht,Chrysler power boats,1974,4.9,2.1,GRP,Germany,125,Used boat,Unleaded
11000,Cabin Boat,Stingray power boats,1997,6.5,2.4,GRP,Italy,229,Used boat,nan
11000,Sport Boat,Bayliner power boats,1996,7.03,2.54,PVC,France,226,Used boat,Unleaded
11000,"Bowrider,Classic",Sunbird power boats,1971,5.79,2.2,Wood,France,87,Used boat,Unleaded
11000,Sport Boat,Mery Nautic power boats,1999,5.2,2.15,nan,France,95,Used boat,Unleaded
11000,Cabin Boat,Glastron power boats,1998,6.13,2.39,GRP,Italy,175,Used boat,Unleaded
11000,Sport Boat,Sea Ray power boats,1992,7.8,2.59,GRP,Italy,173,Used boat,Unleaded
11000,"Motor Yacht,Sport Boat",Rio power boats,2000,6,2.4,GRP,Spain,422,Used boat,Unleaded
11000,Cabin Boat,Birchwood power boats,1986,7.4,2.5,GRP,Germany,243,Used boat,Unleaded
11000,Sport Boat,Bayliner power boats,1987,7.62,2.97,GRP,Netherlands,254,Used boat,nan
10999,Deck Boat,Quicksilver (Brunswick Marine) power boats,2020,5.07,2.12,GRP,Germany,150,new boat from stock,nan
10999,Sport Boat,BlueCraft power boats,2020,5.1,2.1,GRP,Germany,255,new boat from stock,Unleaded
10999,Sport Boat,Remus power boats,2020,5.2,2.22,GRP,Germany,179,new boat from stock,nan
10990,Cabin Boat,Quicksilver power boats,2003,4.7,2.3,GRP,Germany,169,Used boat,Unleaded
10990,Cabin Boat,Polar power boats,1977,6.7,2.3,GRP,Germany,136,Diesel,nan
12000,Sport Boat,B̩n̩teau power boats,1993,7.75,2.75,PVC,France,141,Used boat,Unleaded
12000,Cabin Boat,nan,1973,7,1.9,Wood,Germany,241,Used boat,Unleaded
12000,Cabin Boat,Wiking power boats,1979,6.5,2.2,GRP,Germany,327,Used boat,Diesel
12000,Sport Boat,Gobbi power boats,1988,6.16,2.49,Plastic,Italy,188,Used boat,Unleaded
12000,"Cabin Boat,Motor Yacht",Fjord power boats,1978,7.2,2.95,GRP,Germany,1101,Used boat,Diesel
12000,Cabin Boat,nan,1970,7.75,2.65,Steel,Netherlands,370,Used boat,Unleaded
11990,Sport Boat,nan,2019,4.6,1.8,Aluminium,Germany,133,new boat from stock,nan
11990,Sport Boat,Quicksilver power boats,2005,5,4.96,PVC,France,141,Used boat,Unleaded
13489.58,Sport Boat,Atlantic Marine power boats,2019,5.3,2.39,GRP,Switzerland ,284,new boat from stock,nan
11962.37,Sport Boat,Crescent power boats,2019,4,1,nan,Denmark,166,new boat from stock,nan
11962.37,Launch,nan,2020,4,2,nan,Denmark,134,new boat from stock,nan
13437.5,Runabout,Safter Marine power boats,2020,5,1.9,GRP,Switzerland ,273,new boat from stock,nan
13437.5,Working Boat,Tinn-Silver power boats,2019,4.5,1.75,Aluminium,Switzerland ,365,Display Model,Unleaded
14466.67,Runabout,Larson power boats,1994,5.8,2.47,nan,Switzerland ,333,Used boat,Unleaded
12800,Sport Boat,nan,2019,4.8,2,GRP,Germany,73,Used boat,Unleaded
12800,Sport Boat,Four Winns power boats,1994,6.4,2.36,nan,Belgium,235,Used boat,nan
12770,Bowrider,Maxima power boats,2020,4.9,1.9,GRP,Germany,180,new boat from stock,nan
12767.47,Launch,nan,2020,4,1,nan,Denmark,67,new boat from stock,nan
12750,Deck Boat,nan,2020,5.7,2.25,nan,Germany,97,new boat from stock,nan
12680,Fishing Boat,Gropp power boats,,5.5,1.65,Aluminium,Switzerland ,159,Display Model,nan
14260.42,Sport Boat,Orkney power boats,,4.24,1.8,GRP,Switzerland ,349,new boat from stock,nan
12500,Deck Boat,Quicksilver (Brunswick Marine) power boats,2019,5,2,GRP,Italy,147,new boat from stock,Unleaded
12500,Trawler,nan,1973,8.5,3.1,Steel,Netherlands,177,Used boat,Diesel
12500,Trawler,Schlosswerft power boats,1913,14.7,3.65,Steel,Germany,235,Used boat,Diesel
12500,Sport Boat,Sea Ray power boats,1994,5.6,2.2,GRP,Italy,452,Used boat,Unleaded
12500,Cabin Boat,Compromis power boats,1983,7.2,2.85,GRP,Netherlands,165,Used boat,nan
12500,"Classic,Launch",nan,1965,6.12,2.22,Wood,Netherlands,160,Used boat,nan
12500,"Classic,Launch",nan,1950,6,2.2,Wood,Netherlands,162,Used boat,nan
15416.67,Bowrider,Ranieri International power boats,,5.1,2.1,GRP,Switzerland ,278,new boat from stock,nan
15416.67,"Cabin Boat,Sport Boat",Windy power boats,1984,7.05,2.5,GRP,Switzerland ,436,Used boat,Unleaded
13690,Deck Boat,Jeanneau power boats,2014,5,2,PVC,Slovak Republic,35,new boat from stock,nan
15312.5,Bowrider,Yamarin power boats,2018,4.57,1.93,GRP,Switzerland ,212,new boat from stock,nan
13566,Sport Boat,Eolo power boats,2019,5.7,2.1,nan,Germany,214,new boat from stock,nan
15104.17,Pilothouse,Draco power boats,1992,6.77,2.28,nan,Switzerland ,760,Used boat,Unleaded
13500,Sport Boat,Acquaviva (IT) power boats,1998,5.95,2.48,GRP,Italy,121,Used boat,Unleaded
13500,Sport Boat,nan,1997,6.4,2.54,GRP,Italy,222,Used boat,Unleaded
13500,Pilothouse,Arvor power boats,1999,6.16,2.48,PVC,France,110,Used boat,Diesel
13500,Motor Yacht,Bayliner power boats,1995,7.75,2.57,GRP,Netherlands,83,Used boat,nan
13500,Sport Boat,Lema power boats,1996,7,2,PVC,Spain,264,Used boat,Diesel
13500,Center console boat,Ranieri power boats,2002,5.45,2.15,GRP,Italy,109,Used boat,Unleaded
13500,Sport Boat,Windy power boats,1990,8.8,2.79,GRP,Croatia,132,Used boat,Unleaded
13500,Deck Boat,Jeanneau power boats,2014,4.5,2,PVC,France,81,Used boat,Unleaded
13500,Sport Boat,B̩n̩teau power boats,2006,6.5,2.44,Steel,France,262,Used boat,Diesel
13500,Launch,nan,1963,6,2.4,Wood,Netherlands,214,Used boat,Unleaded
14500,Bowrider,Bayliner power boats,1998,3,2,PVC,Portugal,186,Used boat,Unleaded
16269.79,Sport Boat,Buster power boats,,4.86,1.85,Aluminium,Switzerland ,81,new boat from stock,nan
16250,Fishing Boat,Smartliner power boats,2020,5.76,2.25,GRP,Switzerland ,292,new boat on order,nan
14400,Fishing Boat,nan,,5,2,nan,Italy,279,new boat from stock,nan
14366,Runabout,Karnic power boats,2018,4.9,2.08,GRP,Germany,119,new boat from stock,nan
16145.83,Center console boat,Seagull power boats,2006,5.25,2.16,GRP,Switzerland ,151,Used boat,Unleaded
16041.67,Motor Yacht,B2 Marine power boats,2019,4.52,1.9,nan,Switzerland ,220,new boat from stock,nan
14200,Sport Boat,Allegra power boats,2019,6.35,2.45,nan,Italy,172,Used boat,nan
14200,Sport Boat,Romar power boats,2019,5.68,1.99,GRP,Switzerland ,285,new boat from stock,nan
14000,Sport Boat,Gobbi power boats,1997,9.15,3,GRP,Italy,281,Used boat,nan
14000,Deck Boat,Mingolla power boats,2019,6.42,2.38,nan,Italy,152,Used boat,nan
14000,Sport Boat,Gobbi power boats,1990,6.42,2.38,GRP,Italy,132,Used boat,Unleaded
14000,Sport Boat,Allegra power boats,2018,5.6,2.35,nan,Italy,70,new boat from stock,nan
14000,Cabin Boat,SAS-Vektor power boats,2008,4.99,2.07,GRP,Croatia,118,Used boat,Unleaded
